Team,Span,Mat,Won,Lost,Draw,Tied,Tie+W,Tie+L,NR,W/L,%W,%L,%D,%
Afghanistan,2015-2019,15,1,14,0,0,0,0,0,0.071,6.66,93.33,0.0,6.66
Australia,1975-2019,94,69,23,0,1,0,0,1,3.0,73.4,24.46,0.0,74.73
Bangladesh,1999-2019,40,14,25,0,0,0,0,1,0.56,35.0,62.5,0.0,35.89
Bermuda,2007-2007,3,0,3,0,0,0,0,0,0.0,0.0,100.0,0.0,-
Canada,1979-2011,18,2,16,0,0,0,0,0,0.125,11.11,88.88,0.0,11.11
East Africa,1975-1975,3,0,3,0,0,0,0,0,0.0,0.0,100.0,0.0,-
England,1975-2019,83,48,32,0,2,0,0,1,1.5,57.83,38.55,0.0,59.75
India,1975-2019,84,53,29,0,1,0,0,1,1.827,63.09,34.52,0.0,64.45
Ireland,2007-2015,21,7,13,0,1,0,0,0,0.538,33.33,61.9,0.0,35.71
Kenya,1996-2011,29,6,22,0,0,0,0,1,0.272,20.68,75.86,0.0,21.42
Namibia,2003-2003,6,0,6,0,0,0,0,0,0.0,0.0,100.0,0.0,-
Netherlands,1996-2011,20,2,18,0,0,0,0,0,0.111,10.0,90.0,0.0,10
New Zealand,1975-2019,89,54,33,0,1,0,0,1,1.636,60.67,37.07,0.0,61.93
Pakistan,1975-2019,79,45,32,0,0,0,0,2,1.406,56.96,40.5,0.0,58.44
Scotland,1999-2015,14,0,14,0,0,0,0,0,0.0,0.0,100.0,0.0,-
South Africa,1992-2019,64,38,23,0,2,0,0,1,1.652,59.37,35.93,0.0,61.9
Sri Lanka,1975-2019,80,38,39,0,1,0,0,2,0.974,47.5,48.75,0.0,49.35
United Arab Emirates,1996-2015,11,1,10,0,0,0,0,0,0.1,9.09,90.9,0.0,9.09
West Indies,1975-2019,80,43,35,0,0,0,0,2,1.228,53.75,43.75,0.0,55.12
Zimbabwe,1983-2015,57,11,42,0,1,0,0,3,0.261,19.29,73.68,0.0,21.29
