,Team,Span,Mat,Won,Lost,Tied,NR,W/L,%W,%L,%D,FinalAppearances,Winners,Runners
0,Australia,1975-2019,94,69,23,1,1,3.0,73.4,24.46,0.0,7.0,5.0,2.0
1,New Zealand,1975-2019,89,54,33,1,1,1.636,60.67,37.07,0.0,2.0,0.0,2.0
2,India,1975-2019,84,53,29,1,1,1.827,63.09,34.52,0.0,3.0,2.0,1.0
3,England,1975-2019,83,48,32,2,1,1.5,57.83,38.55,0.0,4.0,1.0,3.0
4,Pakistan,1975-2019,79,45,32,0,2,1.406,56.96,40.5,0.0,2.0,1.0,1.0
5,West Indies,1975-2019,80,43,35,0,2,1.228,53.75,43.75,0.0,3.0,2.0,1.0
6,South Africa,1992-2019,64,38,23,2,1,1.652,59.37,35.93,0.0,0.0,0.0,0.0
7,Sri Lanka,1975-2019,80,38,39,1,2,0.974,47.5,48.75,0.0,3.0,1.0,2.0
8,Bangladesh,1999-2019,40,14,25,0,1,0.56,35.0,62.5,0.0,0.0,0.0,0.0
9,Zimbabwe,1983-2015,57,11,42,1,3,0.261,19.29,73.68,0.0,0.0,0.0,0.0
10,Ireland,2007-2015,21,7,13,1,0,0.538,33.33,61.9,0.0,0.0,0.0,0.0
11,Kenya,1996-2011,29,6,22,0,1,0.272,20.68,75.86,0.0,0.0,0.0,0.0
12,Canada,1979-2011,18,2,16,0,0,0.125,11.11,88.88,0.0,0.0,0.0,0.0
13,Netherlands,1996-2011,20,2,18,0,0,0.111,10.0,90.0,0.0,0.0,0.0,0.0
14,United Arab Emirates,1996-2015,11,1,10,0,0,0.1,9.09,90.9,0.0,0.0,0.0,0.0
15,Afghanistan,2015-2019,15,1,14,0,0,0.071,6.66,93.33,0.0,0.0,0.0,0.0
16,Bermuda,2007-2007,3,0,3,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
17,East Africa,1975-1975,3,0,3,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
18,Namibia,2003-2003,6,0,6,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
19,Scotland,1999-2015,14,0,14,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
